Original Air Date,Title,Instructor,Length,Type
Wed Feb  5 05:31:00 2020,20 min Courage Meditation,Kristin McGee,20.0,Emotions
Tue Feb  4 16:18:00 2020,30 min Sleep Meditation,Ross Rayburn,30.0,Relax & Sleep
Tue Feb  4 08:47:00 2020,Zen in Ten: Calming Meditation,Aditi Shah,10.0,Zen in Ten
Tue Feb  4 07:49:00 2020,10 min Breathing Meditation,Aditi Shah,10.0,Mindfulness
Mon Feb  3 15:31:00 2020,20 min Empathy Meditation,Ross Rayburn,20.0,Emotions
Mon Feb  3 08:48:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Feb  3 08:08:00 2020,5 min Body Scan Meditation,Anna Greenberg,5.0,Mindfulness
Mon Feb  3 07:47:00 2020,5 min Gratitude Meditation,Anna Greenberg,5.0,Emotions
Fri Jan 31 08:47:00 2020,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Thu Jan 30 17:01:00 2020,10 min Relaxing Meditation,Aditi Shah,10.0,Relax & Sleep
Thu Jan 30 08:49:00 2020,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Jan 30 07:59:00 2020,10 min Basics: Finding Your Seat,Ross Rayburn,10.0,Meditation Basics
Thu Jan 30 07:51:00 2020,5 min Energizing Meditation,Ross Rayburn,5.0,Emotions
Wed Jan 29 08:47:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Wed Jan 29 07:47:00 2020,10 min Acceptance Meditation,Kristin McGee,10.0,Emotions
Tue Jan 28 16:18:00 2020,10 min Calming Meditation,Ross Rayburn,10.0,Relax & Sleep
Tue Jan 28 08:49:00 2020,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Tue Jan 28 08:23:00 2020,5 min Basics: Witness Meditation,Aditi Shah,5.0,Meditation Basics
Tue Jan 28 05:31:00 2020,20 min Calming Meditation,Anna Greenberg,20.0,Relax & Sleep
Mon Jan 27 08:49:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Jan 27 07:41:00 2020,10 min Happiness Meditation,Anna Greenberg,10.0,Emotions
Fri Jan 24 08:48:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Thu Jan 23 08:48:00 2020,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Wed Jan 22 17:01:00 2020,10 min Kindness Meditation,Anna Greenberg,10.0,Emotions
Wed Jan 22 13:58:00 2020,5 min Peace Meditation,Aditi Shah,5.0,Emotions
Wed Jan 22 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Wed Jan 22 05:31:00 2020,20 min Energizing Meditation,Kristin McGee,20.0,Emotions
Tue Jan 21 17:01:00 2020,10 min Calming Meditation,Kristin McGee,10.0,Relax & Sleep
