Original Air Date,Type,Instructor,Length
Wed Jun 26 13:12:00 2019,Pre & Post-Run Stretch,Selena Samuela,5.0
Wed Jun 26 06:31:00 2019,Pre & Post-Run Stretch,Jess Sims,5.0
Wed Jun 26 05:52:00 2019,Pre & Post-Run Stretch,Jess Sims,5.0
Tue Jun 25 06:44:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Tue Jun 25 06:33:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Tue Jun 25 06:17:00 2019,Pre & Post-Run Stretch,Andy Speer,5.0
Tue Jun 25 06:11:00 2019,Pre & Post-Run Stretch,Andy Speer,5.0
Tue Jun 25 06:20:00 2019,Pre & Post-Run Stretch,Andy Speer,5.0
Mon Jun 24 12:15:00 2019,Pre & Post-Ride Stretch,Jess King,5.0
Mon Jun 24 06:32:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Fri Jun 21 06:32:00 2019,Lower Body Stretch,Andy Speer,10.0
Tue Jun 18 12:47:00 2019,Pre & Post-Ride Stretch,Robin Arzon,5.0
Tue Jun 18 06:39:00 2019,Pre & Post-Run Stretch,Andy Speer,5.0
Tue Jun 18 05:58:00 2019,Pre & Post-Run Stretch,Andy Speer,5.0
Mon Jun 17 08:11:00 2019,Pre & Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Fri Jun 14 12:26:00 2019,Pre & Post-Ride Stretch,Denis Morton,5.0
Wed Jun 12 11:35:00 2019,Pre & Post-Ride Stretch,Jenn Sherman,5.0
Tue Jun 11 13:09:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Tue Jun 11 12:42:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Tue Jun 11 11:50:00 2019,Pre & Post-Ride Stretch,Christine D'Ercole,10.0
Fri Jun  7 11:57:00 2019,Pre & Post-Ride Stretch,Matt Wilpers,4.983333333333333
Fri Jun  7 11:45:00 2019,Stretch,Matt Wilpers,4.983333333333333
Thu Jun  6 12:17:00 2019,Full Body Stretch,Denis Morton,15.0
Thu Jun  6 12:26:00 2019,Pre & Post-Ride Stretch,Alex Toussaint,5.0
Tue Jun  4 00:35:00 2019,Pre & Post-Ride Stretch,Ben Alldis,4.983333333333333
Mon Jun  3 11:34:00 2019,Pre & Post-Ride Stretch,Hannah Corbin,5.0
Sat Jun  1 19:33:00 2019,Pre & Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Fri May 31 11:39:00 2019,Pre & Post-Ride Stretch,Jess King,5.0
Thu May 30 20:47:00 2019,Pre & Post-Ride Stretch,Leanne Hainsby,9.983333333333333
Thu May 30 10:06:00 2019,Full Body Stretch,Hannah Corbin,10.0
Thu May 30 09:26:00 2019,Full Body Stretch,Hannah Corbin,10.0
Tue May 28 07:46:00 2019,Full Body Stretch,Andy Speer,10.0
Tue May 28 07:05:00 2019,Upper Body Stretch,Andy Speer,10.0
Tue May 28 06:00:00 2019,Full Body Stretch,Emma Lovewell,5.0
Mon May 25 06:00:00 2020,Full Body Stretch,Andy Speer,10.0
Fri May 24 10:17:00 2019,Upper Body Stretch,Andy Speer,5.0
Thu May 23 12:10:00 2019,Pre & Post-Ride Stretch,Jennifer Jacobs,5.0
Thu May 23 11:36:00 2019,Pre & Post-Ride Stretch,Jennifer Jacobs,5.0
Wed May 22 12:42:00 2019,Pre & Post-Run Stretch,Selena Samuela,10.0
Wed May 22 11:13:00 2019,Pre & Post-Run Stretch,Jess Sims,10.0
Tue May 21 11:56:00 2019,Pre & Post-Ride Stretch,Emma Lovewell,5.0
Tue May 21 11:41:00 2019,Pre & Post-Ride Stretch,Emma Lovewell,5.0
Sun May 19 11:44:00 2019,Full Body Stretch,Selena Samuela,10.0
Sun May 19 08:46:00 2019,Pre & Post-Run Stretch,Matt Wilpers,10.0
Fri May 17 07:30:00 2019,Lower Body Stretch,Becs Gentry,10.0
