Original Air Date,Title,Instructor,Length,Type
Wed May 27 07:00:00 2020,30 min EDM Ride,Hannah Frankson,30.0,Theme
Wed May 27 05:55:00 2020,30 min HIIT Ride: Live from Home,Ben Alldis,30.0,Intervals
Wed May 27 04:00:00 2020,30 min HIIT & Hills Ride,Hannah Frankson,30.0,Intervals
Tue May 26 14:49:00 2020,45 min 90s Rock Ride,Emma Lovewell,45.0,Theme
Tue May 26 13:56:00 2020,30 min Intervals & Arms Ride,Cody Rigsby,30.0,Intervals
Tue May 26 14:00:00 2020,30 min AHM Celebration Ride,Kendall Toole,30.0,Theme
Tue May 26 13:20:00 2020,20 min Pop Ride,Cody Rigsby,20.0,Theme
Tue May 26 04:55:00 2020,30 min Alternative Ride: Live from Home,Irène Scholz,30.0,Theme
Tue May 26 09:22:00 2020,30 min R&B Ride: Live from Home,Alex Toussaint,30.0,Theme
Tue May 26 07:00:00 2020,10 min Warm Up Ride,Matt Wilpers,10.0,Low Impact
Tue May 26 07:00:00 2020,10 min AHM: Classical Cool Down Ride,Emma Lovewell,10.0,Theme
Tue May 26 07:00:00 2020,20 min 90s Ride,Ben Alldis,20.0,Theme
Tue May 26 05:54:00 2020,30 min 80s Rock Ride: Live from Home,Leanne Hainsby,30.0,Theme
Tue May 26 00:35:00 2020,10 min Low Impact Ride,Sam Yo,10.0,Low Impact
Tue May 26 00:00:00 2020,30 min Intervals & Arms Ride,Sam Yo,30.0,Intervals
Mon May 25 05:55:00 2020,30 min 2010s Ride: Live from Home,Ben Alldis,30.0,Theme
Sun May 24 09:53:00 2020,30 min 2000s Ride: Live From Home ,Ally Love,30.0,Theme
Sun May 24 06:54:00 2020,30 min HIIT Ride: Live From Home,Jenn Sherman,30.0,Intervals
Sat May 23 09:54:00 2020,30 min Pop Ride: Live From Home,Jess King,30.0,Theme
Sat May 23 06:54:00 2020,30 min Together We Ride: Live From Home ,Robin Arzon,30.0,Theme
Fri May 22 09:24:00 2020,30 min Rock Ride: Live From Home ,Alex Toussaint,30.0,Theme
Fri May 22 05:55:00 2020,30 min 80s Ride: Live From Home ,Ally Love,30.0,Theme
Thu May 21 09:25:00 2020,30 min 90s Rock Ride: Live from Home,Jenn Sherman,30.0,Theme
Thu May 21 05:55:00 2020,30 min HIIT & Hills Ride: Live from Home,Leanne Hainsby,30.0,Intervals
Wed May 20 10:55:00 2020,30 min HIIT Ride: Live from Home,Irène Scholz,30.0,Intervals
Wed May 20 09:21:00 2020,30 min Pop Ride: Live from Home,Robin Arzon,30.0,Theme
Wed May 20 05:55:00 2020,30 min Intervals & Arms: Live from Home,Ben Alldis,30.0,Intervals
Tue May 19 04:55:00 2020,30 min Hip Hop Ride: Live from Home,Irène Scholz,30.0,Theme
Tue May 19 09:21:00 2020,30 min HIIT Ride: Live from Home,Alex Toussaint,30.0,Intervals
Tue May 19 06:00:00 2020,30 min 70s Ride: Live from Home,Leanne Hainsby,30.0,Theme
Mon May 18 09:20:00 2020,30 min Intervals & Arms: Live from Home,Jess King,30.0,Intervals
