Original Air Date,Type,Instructor,Length
Wed Jan 29 03:48:00 2020,Fun Run,Selena Samuela,30.0
Wed Jan 29 02:47:00 2020,Intervals Running,Jess Sims,20.0
Tue Jan 28 16:18:00 2020,Endurance,Becs Gentry,60.0
Tue Jan 28 04:47:00 2020,Intervals Running,Olivia Amato,20.0
Mon Jan 27 14:20:00 2020,Intervals Running,Robin Arzon,30.0
Mon Jan 27 12:51:00 2020,Speed Running,Becs Gentry,45.0
Mon Jan 27 04:49:00 2020,Intervals Running,Jess Sims,45.0
Sun Jan 26 07:48:00 2020,Intervals Running,Selena Samuela,30.0
Sat Jan 25 05:18:00 2020,Fun Run,Becs Gentry,30.0
Fri Jan 24 08:47:00 2020,Fun Run,Andy Speer,30.0
Fri Jan 24 04:49:00 2020,Fun Run,Matty Maggiacomo,20.0
Fri Jan 24 03:48:00 2020,Intervals Running,Selena Samuela,30.0
Thu Jan 23 14:16:00 2020,Fun Run,Olivia Amato,45.0
Thu Jan 23 07:22:00 2020,Intervals Running,Matty Maggiacomo,20.0
Thu Jan 23 02:50:00 2020,Intervals Running,Becs Gentry,45.0
Wed Jan 22 16:19:00 2020,Intervals Running,Rebecca Kennedy,30.0
Wed Jan 22 12:50:00 2020,Intervals Running,Selena Samuela,30.0
Wed Jan 22 04:48:00 2020,Speed Running,Andy Speer,20.0
Wed Jan 22 02:48:00 2020,Fun Run,Matt Wilpers,45.0
Tue Jan 21 16:18:00 2020,Fun Run,Becs Gentry,60.0
Tue Jan 21 15:19:00 2020,Fun Run,Selena Samuela,45.0
Tue Jan 21 04:32:00 2020,Warm Up/Cool Down Running,Jess Sims,10.0
Mon Jan 20 09:51:00 2020,Fun Run,Robin Arzon,20.0
Mon Jan 20 09:17:00 2020,Fun Run,Robin Arzon,20.0
Mon Jan 20 05:19:00 2020,Fun Run,Matty Maggiacomo,45.0
Sun Jan 19 07:45:00 2020,Endurance,Matt Wilpers,60.0
Sun Jan 19 06:20:00 2020,Fun Run,Rebecca Kennedy,20.0
Sat Jan 18 05:19:00 2020,Intervals Running,Becs Gentry,45.0
Fri Jan 17 08:48:00 2020,Fun Run,Becs Gentry,30.0
Fri Jan 17 04:47:00 2020,Fun Run,Matty Maggiacomo,30.0
Fri Jan 17 04:21:00 2020,Fun Run,Selena Samuela,20.0
Fri Jan 17 03:48:00 2020,Fun Run,Selena Samuela,20.0
Thu Jan 16 15:02:00 2020,Endurance,Becs Gentry,10.0
Thu Jan 16 14:18:00 2020,Fun Run,Becs Gentry,30.0
Thu Jan 16 03:48:00 2020,Speed Running,Jess Sims,20.0
Thu Jan 16 02:48:00 2020,Fun Run,Olivia Amato,45.0
Wed Jan 15 15:18:00 2020,Intervals Running,Matty Maggiacomo,45.0
Wed Jan 15 04:47:00 2020,Intervals Running,Andy Speer,20.0
Wed Jan 15 03:46:00 2020,Intervals Running,Selena Samuela,45.0
Wed Jan 15 02:47:00 2020,Endurance,Matt Wilpers,30.0
Tue Jan 14 16:20:00 2020,Endurance,Becs Gentry,60.0
Tue Jan 14 15:18:00 2020,Fun Run,Selena Samuela,45.0
Tue Jan 14 05:57:00 2020,Intervals Running,Olivia Amato,20.0
Tue Jan 14 04:48:00 2020,Fun Run,Olivia Amato,45.0
Mon Jan 13 15:17:00 2020,Intervals Running,Chase Tucker,45.0
Mon Jan 13 14:16:00 2020,Fun Run,Robin Arzon,20.0
Mon Jan 13 04:49:00 2020,Intervals Running,Becs Gentry,20.0
Mon Jan 13 02:48:00 2020,Intervals Running,Olivia Amato,45.0
Sun Jan 12 07:49:00 2020,Fun Run,Selena Samuela,60.0
Sat Jan 11 05:20:00 2020,Fun Run,Becs Gentry,45.0
Fri Jan 10 09:00:00 2020,Fun Run,Andy Speer,30.0
Fri Jan 10 04:48:00 2020,Fun Run,Matty Maggiacomo,20.0
Fri Jan 10 04:31:00 2020,Endurance,Selena Samuela,10.0
Fri Jan 10 03:47:00 2020,Intervals Running,Selena Samuela,30.0
Thu Jan  9 14:17:00 2020,Fun Run,Rebecca Kennedy,45.0
Thu Jan  9 03:47:00 2020,Fun Run,Jess Sims,20.0
Thu Jan  9 02:46:00 2020,Intervals Running,Chase Tucker,30.0
Wed Jan  8 16:18:00 2020,Intervals Running,Rebecca Kennedy,30.0
Wed Jan  8 04:47:00 2020,Fun Run,Andy Speer,30.0
Wed Jan  8 03:47:00 2020,Fun Run,Jess Sims,20.0
Wed Jan  8 03:21:00 2020,Fun Run,Matt Wilpers,20.0
Tue Jan  7 15:19:00 2020,Speed Running,Selena Samuela,45.0
Tue Jan  7 05:20:00 2020,Fun Run,Olivia Amato,20.0
Tue Jan  7 04:49:00 2020,Fun Run,Olivia Amato,20.0
