Tue Jun  9 11:30:00 2020,Yoga Flow,yoga,Aditi Shah,30.0
Tue Jun  9 09:24:00 2020,Intervals,cycling,Ally Love,30.0
Tue Jun  9 07:52:00 2020,Intervals Running,running,Becs Gentry,30.0
Tue Jun  9 07:30:00 2020,Theme,cycling,Ben Alldis,30.0
Tue Jun  9 07:00:00 2020,Yoga Flow,yoga,Chelsea Jackson Roberts,30.0
Tue Jun  9 07:00:00 2020,Mindfulness,meditation,Chelsea Jackson Roberts,10.0
Tue Jun  9 06:30:00 2020,Yoga Flow,yoga,Denis Morton,20.0
Tue Jun  9 05:55:00 2020,Theme,cycling,Leanne Hainsby,30.0
Tue Jun  9 01:25:00 2020,Upper Body (strength & toning),strength,Sam Yo,10.0
Tue Jun  9 01:00:00 2020,Intervals,cycling,Sam Yo,20.0
Mon Jun  8 15:35:00 2020,Low Impact,cycling,Hannah Corbin,15.0
Mon Jun  8 15:23:00 2020,Bodyweight (Strength & toning),strength,Rebecca Kennedy,20.0
Mon Jun  8 14:49:00 2020,Beginner,cycling,Hannah Corbin,30.0
Mon Jun  8 14:48:00 2020,Fun Run,running,Rebecca Kennedy,20.0
Mon Jun  8 14:04:00 2020,Theme,cycling,Tunde Oyeneyin,20.0
Mon Jun  8 13:17:00 2020,Intervals,cycling,Tunde Oyeneyin,30.0
Mon Jun  8 13:00:00 2020,Emotions,meditation,Kristin McGee,5.0
Mon Jun  8 12:22:00 2020,Fun Run,running,Andy Speer,20.0
Mon Jun  8 11:49:00 2020,Intervals Running,running,Andy Speer,20.0
Mon Jun  8 09:16:00 2020,Fun Run,running,Jess Sims,20.0
Mon Jun  8 09:22:00 2020,Intervals,cycling,Jess King,30.0
Mon Jun  8 07:54:00 2020,Bodyweight (Strength & toning),strength,Robin Arzon,20.0
Mon Jun  8 07:00:00 2020,Pre & Post-Run Stretch,stretching,Andy Speer,5.0
Mon Jun  8 07:00:00 2020,Low Impact,cycling,Robin Arzon,5.0
Mon Jun  8 07:00:00 2020,Pre & Post-Ride Stretch,stretching,Kendall Toole,5.0
Mon Jun  8 07:00:00 2020,Theme,cycling,Leanne Hainsby,30.0
Mon Jun  8 05:55:00 2020,Theme,cycling,Ben Alldis,30.0
Mon Jun  8 05:25:00 2020,Fun Run,running,Olivia Amato,30.0
Mon Jun  8 01:25:00 2020,Low Impact,cycling,Hannah Frankson,10.0
Mon Jun  8 01:00:00 2020,Intervals,cycling,Hannah Frankson,20.0
Sun Jun  7 14:49:00 2020,Theme,cycling,Tunde Oyeneyin,20.0
Sun Jun  7 14:50:00 2020,Fun Run,running,Selena Samuela,30.0
Sun Jun  7 14:02:00 2020,Theme,cycling,Hannah Corbin,20.0
Sun Jun  7 14:00:00 2020,Intervals,cycling,Olivia Amato,30.0
Sun Jun  7 13:20:00 2020,Theme,cycling,Hannah Corbin,30.0
Sun Jun  7 13:00:00 2020,Theme,cycling,Emma Lovewell,20.0
Sun Jun  7 11:49:00 2020,Endurance,running,Matt Wilpers,45.0
Sun Jun  7 11:20:00 2020,Upper Body (strength & toning),strength,Andy Speer,30.0
Sun Jun  7 09:55:00 2020,Theme,cycling,Ally Love,30.0
Sun Jun  7 07:00:00 2020,Yoga Flow,yoga,Denis Morton,30.0
Sun Jun  7 07:00:00 2020,Low Impact,cycling,Ally Love,5.0
Sun Jun  7 06:50:00 2020,Theme,cycling,Jenn Sherman,30.0
Sun Jun  7 01:25:00 2020,Theme,cycling,Ben Alldis,20.0
Sun Jun  7 01:00:00 2020,Climb,cycling,Ben Alldis,20.0
Sat Jun  6 21:00:00 2020,Endurance,running,Becs Gentry,45.0
Sat Jun  6 14:51:00 2020,Intervals Running,running,Chase Tucker,20.0
Sat Jun  6 15:00:00 2020,Low Impact,cycling,Hannah Corbin,30.0
Sat Jun  6 14:05:00 2020,Intervals,cycling,Kendall Toole,20.0
Sat Jun  6 14:00:00 2020,Beginner,cycling,Matt Wilpers,20.0
Sat Jun  6 13:19:00 2020,Theme,cycling,Kendall Toole,30.0
Sat Jun  6 13:00:00 2020,Theme,cycling,Alex Toussaint,20.0
Sat Jun  6 11:50:00 2020,Theme (Bootcamp),circuit,Jess Sims,60.0
Sat Jun  6 11:21:00 2020,Yoga Flow,yoga,Aditi Shah,45.0
Sat Jun  6 10:00:00 2020,Theme,cycling,Jess King,30.0
Sat Jun  6 07:50:00 2020,Intervals Running,running,Becs Gentry,30.0
Sat Jun  6 08:00:00 2020,Intervals,cycling,Hannah Frankson,30.0
Sat Jun  6 07:00:00 2020,Theme (Bootcamp),circuit,Matty Maggiacomo,45.0
Sat Jun  6 07:00:00 2020,HIIT (BTR Cardio),cardio,Selena Samuela,15.0
Sat Jun  6 06:50:00 2020,Theme,cycling,Robin Arzon,30.0
Sat Jun  6 01:50:00 2020,Intervals,cycling,Sam Yo,30.0
Sat Jun  6 01:25:00 2020,Theme,cycling,Leanne Hainsby,20.0
Sat Jun  6 01:00:00 2020,Intervals,cycling,Leanne Hainsby,20.0
Fri Jun  5 15:04:00 2020,Emotions,meditation,Chelsea Jackson Roberts,10.0
Fri Jun  5 15:00:00 2020,Theme,cycling,Emma Lovewell,30.0
Fri Jun  5 14:20:00 2020,Yoga Flow,yoga,Chelsea Jackson Roberts,30.0
Fri Jun  5 14:06:00 2020,Theme,cycling,Matt Wilpers,20.0
Fri Jun  5 14:00:00 2020,Theme,cycling,Denis Morton,20.0
Fri Jun  5 13:23:00 2020,Intervals,cycling,Matt Wilpers,30.0
Fri Jun  5 13:02:00 2020,Yoga Flow,yoga,Anna Greenberg,20.0
Fri Jun  5 13:00:00 2020,Theme,cycling,Christine D'Ercole,20.0
Fri Jun  5 12:28:00 2020,Yoga Flow,yoga,Anna Greenberg,30.0
Fri Jun  5 11:30:00 2020,Intervals Running,running,Jess Sims,20.0
Fri Jun  5 09:25:00 2020,Theme,cycling,Alex Toussaint,30.0
Fri Jun  5 08:00:00 2020,HIIT (BTR Cardio),cardio,Andy Speer,20.0
Fri Jun  5 07:30:00 2020,Theme,cycling,Hannah Frankson,20.0
Fri Jun  5 07:00:00 2020,Low Impact,cycling,Olivia Amato,4.983333333333333
Fri Jun  5 07:00:00 2020,Upper Body (strength & toning),strength,Cody Rigsby,10.0
Fri Jun  5 07:00:00 2020,Fun Run,running,Matt Wilpers,30.0
Fri Jun  5 06:30:00 2020,Yoga Flow,yoga,Anna Greenberg,45.0
Fri Jun  5 05:55:00 2020,Theme,cycling,Ally Love,30.0
Fri Jun  5 05:00:00 2020,Theme,cycling,Sam Yo,45.0
Thu Jun  4 14:48:00 2020,Theme,cycling,Kendall Toole,30.0
Thu Jun  4 14:19:00 2020,Yoga Flow,yoga,Anna Greenberg,45.0
Thu Jun  4 14:06:00 2020,Upper Body (strength & toning),strength,Olivia Amato,10.0
Thu Jun  4 14:00:00 2020,Theme,cycling,Jess King,20.0
Thu Jun  4 13:26:00 2020,Theme,cycling,Olivia Amato,30.0
Thu Jun  4 13:00:00 2020,Theme,cycling,Robin Arzon,20.0
Thu Jun  4 11:20:00 2020,Lower Body (Strength & Toning),strength,Jess Sims,20.0
Thu Jun  4 11:00:00 2020,Full Body Stretch,stretching,Jess Sims,10.0
Thu Jun  4 09:24:00 2020,Theme,cycling,Jenn Sherman,30.0
Thu Jun  4 07:00:00 2020,Emotions,meditation,Aditi Shah,5.0
Thu Jun  4 07:00:00 2020,Intervals,cycling,Sam Yo,30.0
Thu Jun  4 07:00:00 2020,Pre & Post-Ride Stretch,stretching,Matt Wilpers,5.05
Thu Jun  4 05:54:00 2020,Theme,cycling,Leanne Hainsby,30.0
Thu Jun  4 03:54:00 2020,Theme,cycling,Hannah Frankson,30.0
Thu Jun  4 00:30:00 2020,Pre & Post-Ride Stretch,stretching,Erik Jäger,10.0
Thu Jun  4 00:00:00 2020,Theme,cycling,Erik Jäger,20.0
Wed Jun  3 15:29:00 2020,Mindfulness,meditation,Chelsea Jackson Roberts,10.0
Wed Jun  3 14:54:00 2020,Theme,cycling,Tunde Oyeneyin,30.0
Wed Jun  3 14:05:00 2020,Low Impact,cycling,Christine D'Ercole,10.0
Wed Jun  3 13:20:00 2020,Power Zone,cycling,Christine D'Ercole,30.0
Wed Jun  3 13:04:00 2020,Emotions,meditation,Kristin McGee,10.0
Wed Jun  3 13:00:00 2020,Bodyweight (Strength & toning),strength,Rebecca Kennedy,20.0
Wed Jun  3 13:00:00 2020,Intervals Running,running,Chase Tucker,20.0
Wed Jun  3 12:19:00 2020,Power Yoga,yoga,Kristin McGee,30.0
Wed Jun  3 11:24:00 2020,Yoga Flow,yoga,Ross Rayburn,30.0
Wed Jun  3 09:21:00 2020,Intervals,cycling,Robin Arzon,30.0
Wed Jun  3 07:52:00 2020,HIIT (BTR Cardio),cardio,Jess Sims,20.0
Wed Jun  3 07:00:00 2020,Fun Run,running,Jess Sims,20.0
Wed Jun  3 07:00:00 2020,Intervals Running,running,Robin Arzon,30.0
Wed Jun  3 07:00:00 2020,HIIT (BTR Cardio),cardio,Rebecca Kennedy,15.0
Wed Jun  3 07:00:00 2020,Low Impact,cycling,Jess King,4.983333333333333
Wed Jun  3 07:00:00 2020,Theme,cycling,Sam Yo,30.0
Wed Jun  3 05:55:00 2020,Theme,cycling,Ben Alldis,30.0
Wed Jun  3 05:21:00 2020,Fun Run,running,Becs Gentry,30.0
Wed Jun  3 03:50:00 2020,Intervals,cycling,Hannah Frankson,45.0
Tue Jun  2 07:00:00 2020,Bodyweight (Strength & toning),strength,Adrian Williams,15.0
Tue Jun  2 05:30:00 2020,Lower Body (Strength & Toning),strength,Chase Tucker,20.0
Tue Jun  2 01:25:00 2020,Low Impact,cycling,Sam Yo,10.0
Tue Jun  2 01:00:00 2020,Climb,cycling,Sam Yo,20.0
Mon Jun  1 15:36:00 2020,Upper Body (strength & toning),strength,Rebecca Kennedy,10.0
Mon Jun  1 14:50:00 2020,Intervals Running,running,Rebecca Kennedy,30.0
Mon Jun  1 14:50:00 2020,Intervals,cycling,Cody Rigsby,45.0
Mon Jun  1 15:00:00 2020,Intervals,cycling,Ally Love,15.0
Mon Jun  1 14:05:00 2020,Theme,cycling,Denis Morton,20.0
Mon Jun  1 14:00:00 2020,Theme,cycling,Kendall Toole,30.0
Mon Jun  1 13:21:00 2020,Intervals,cycling,Denis Morton,30.0
Mon Jun  1 13:30:00 2020,Yoga Flow,yoga,Kristin McGee,10.0
Mon Jun  1 13:30:00 2020,Power Walking,walking,Selena Samuela,30.0
Mon Jun  1 13:00:00 2020,Theme,cycling,Hannah Corbin,15.0
Mon Jun  1 11:50:00 2020,Bodyweight (Bootcamp),circuit,Andy Speer,45.0
Mon Jun  1 11:20:00 2020,Yoga Flow,yoga,Ross Rayburn,30.0
Mon Jun  1 09:24:00 2020,Intervals,cycling,Jess King,30.0
Mon Jun  1 07:54:00 2020,Full Body (Strength & Toning),strength,Robin Arzon,20.0
Mon Jun  1 07:00:00 2020,Low Impact,cycling,Leanne Hainsby,30.0
Mon Jun  1 07:00:00 2020,Upper Body (strength & toning),strength,Hannah Corbin,10.0
